Category,count,mean,median,std
voice assistant,13,0.3598290598290598,0.2666666666666667,0.2010025521170851
fitness tracker,14,0.35793650793650794,0.3944444444444445,0.14123176559499026
fleet management,20,0.35777777777777775,0.32499999999999996,0.17696634996191624
retail,18,0.3570987654320988,0.38888888888888895,0.10839499762613014
board games,42,0.3568783068783069,0.29444444444444445,0.19942256873564346
parenting community,18,0.3564814814814815,0.34444444444444444,0.18065733682266452
embassy locator,16,0.35625,0.2861111111111111,0.1540652819784883
eco apps,19,0.356140350877193,0.35,0.15992426552114083
news,11,0.356060606060606,0.3,0.1131058322675241
pollen forecast tool,7,0.35555555555555557,0.3222222222222222,0.13460046043984128
Video Players and Editors,37,0.35525525525525525,0.35,0.16420479046974606
AI photo editor,36,0.35509259259259257,0.31666666666666665,0.14700643065035393
digital audio workstation,5,0.35444444444444445,0.2888888888888889,0.18635556085539381
Communications,36,0.3541666666666667,0.3472222222222222,0.12019513088530731
PCB viewer,12,0.3537037037037037,0.33055555555555555,0.11687891547624449
crypto,17,0.3535947712418301,0.3166666666666667,0.14420307258789894
self-help,4,0.35277777777777775,0.3555555555555555,0.1349058504193434
language learning,40,0.35083333333333333,0.33055555555555555,0.15935803271070786
cloud storage,39,0.3507122507122507,0.3222222222222222,0.12785517289431086
birdwatching apps,20,0.35055555555555556,0.275,0.20032381193864507
games,17,0.35032679738562095,0.2888888888888889,0.14300121120196416
travel,7,0.35000000000000003,0.3111111111111111,0.13619611857923625
camera,17,0.35000000000000003,0.3333333333333334,0.1652952838534649
currency cheat sheet,1,0.35,0.35,
body language analyzer,10,0.34944444444444445,0.3611111111111111,0.08496146144819364
outdoors,7,0.34920634920634924,0.3388888888888889,0.21743521270143013
Travel and Local,33,0.34898989898989896,0.3444444444444444,0.12773591211380836
parenting,25,0.3488888888888889,0.3055555555555556,0.1501884961045283
Auto and Vehicles,36,0.3478395061728395,0.33333333333333337,0.11757603099638891
Finance,41,0.3475609756097561,0.3222222222222222,0.12923713000665762
role playing,41,0.3467479674796748,0.3777777777777778,0.1233344319880752
trivia,8,0.34652777777777777,0.30833333333333335,0.11668319988671233
transport tracking,27,0.3444444444444445,0.3555555555555555,0.13610893073432406
GAME_ACTION,29,0.342911877394636,0.3222222222222222,0.16396552251722843
ride,23,0.34251207729468597,0.3222222222222222,0.13839922465906174
photography,2,0.3416666666666667,0.3416666666666667,0.07463904912524659
career,34,0.34133986928104576,0.3111111111111111,0.11912349155838171
hobbies,19,0.3412280701754386,0.3277777777777778,0.119975360260037
public+transit,19,0.34093567251461987,0.3111111111111111,0.17266182968179877
jobs,19,0.33976608187134505,0.3222222222222222,0.1204026047707385
barcode,21,0.3396825396825397,0.3333333333333334,0.15878867968837745
green living,27,0.33868312757201646,0.2833333333333333,0.16780580425819175
bond calculator,7,0.3373015873015873,0.25,0.18296017820214358
document scanner,13,0.3371794871794872,0.3,0.1317300327164166
casino,41,0.33712737127371273,0.3333333333333334,0.12494714329622014
plant disease identifier,6,0.337037037037037,0.3111111111111111,0.1003491845892961
puzzle,39,0.33689458689458684,0.3222222222222222,0.11724645116615597
CNC tools,5,0.33666666666666667,0.25,0.182599541600171
